"Номер анкеты";"Форма собственности";"Название предприятия";"Подчиненность вышестоящей организации";"Представительство страны";"Почтовый адрес";"Руководитель";"Телефон";"Факс";"E_Mail";"Адрес INTERNET";"Год основания";"Количество койко-мест";"Почтовый индекс";"Дополнительные услуги и продукция";"Основная продукция и услуги";"Направление деятельности"
"0021381";"субъектов федерации";"АЛЕКСАНДРОВСКАЯ ГОРОДСКАЯ БОЛЬНИЦА";"";"";"193312, Россия, г. Санкт-Петербург, просп. Солидарности, 4";"Козлов Виктор Павлович";"(812) 583-16-23, 583-16-00";"(812) 589-11-41";"cpsm@alexhospital.spb.su; b17@zdrav.spb.ru";"www.alexhospital.ru";"1986";"1700";"193312";"";"многопрофильное медицинское обслуживание; ";""
"0011796";"частная";"""АЛЬЯНС КП"" КЛИНИКА (ООО)";"";"";"194156, Россия, г. Санкт-Петербург, просп. Ф.Энгельса, 27";"Ламехова Ольга Викторовна";"(812) 248-99-96, 777-63-02; (921) 913-09-43";"(812) 248-99-96";"";"www.alyans-kp.ru";"2010";"";"194156";"";"лечение стоматологических заболеваний; протезирование зубов; хирургическая стоматология; ";""
"0001611";"частная";"АМБУЛАТОРНО-КОНСУЛЬТАТИВНОЕ ОТДЕЛЕНИЕ";"ГОРОДСКАЯ БОЛЬНИЦА №32";"";"191800, Россия, г. Санкт-Петербург, Лазаретный пер., 4";"Гриненко Олег Александрович";"(812) 713-54-22, 764-77-83";"(812) 764-77-83";"b32@zdrav.spb.ru";"";"2003";"";"191800";"";"многопрофильное медицинское обслуживание; ";""
"0001211";"государственная";"АМБУЛАТОРНО-НАРКОЛОГИЧЕСКОЕ ОТДЕЛЕНИЕ КОЛПИНСКОГО РАЙОНА";"МЕЖРАЙОННЫЙ НАРКОЛОГИЧЕСКИЙ ДИСПАНСЕР №1";"";"196630, Россия, г. Санкт-Петербург, Колпино, ул. Тверская, 10";"Елагина Яна Юрьевна";"(812) 469-26-74";"(812) 469-27-30";"";"";"1978";"";"196630";"";"лечение наркологических заболеваний; ";""
"0001208";"государственная";"АМБУЛАТОРНО-НАРКОЛОГИЧЕСКОЕ ОТДЕЛЕНИЕ КРАСНОГВАРДЕЙСКОГО РАЙОНА";"МЕЖРАЙОННЫЙ НАРКОЛОГИЧЕСКИЙ ДИСПАНСЕР №1";"";"195112, Россия, г. Санкт-Петербург, пр. Новочеркасский, 22/15";"Коляева Марина Ивановна";"(812) 444-22-65, 444-62-69";"(812) 444-22-65";"";"";"1976";"";"195112";"";"лечение наркологических заболеваний; лечение алкоголизма; ";""
"0001213";"государственная";"АМБУЛАТОРНО-НАРКОЛОГИЧЕСКОЕ ОТДЕЛЕНИЕ НЕВСКОГО РАЙОНА";"МЕЖРАЙОННЫЙ НАРКОЛОГИЧЕСКИЙ ДИСПАНСЕР №1";"";"192131, Россия, г. Санкт-Петербург, ул. Ивановская, 32";"Ветласенин Вадим Александрович";"(812) 362-17-47, 560-87-68, 560-11-11, 560-46-47";"(812) 560-87-68";"";"";"1977";"";"192131";"";"лечение наркологических заболеваний; ";""
"0001216";"государственная";"АМБУЛАТОРНО-НАРКОЛОГИЧЕСКОЕ ОТДЕЛЕНИЕ ПРИМОРСКОГО РАЙОНА";"МЕЖРАЙОННЫЙ НАРКОЛОГИЧЕСКИЙ ДИСПАНСЕР №1";"";"197183, Россия, г. Санкт-Петербург, наб. Черной речки, 12";"Ньюпен Виктор Иванович";"(812) 496-14-90, 492-06-68";"(812) 492-06-68";"";"";"1976";"";"197183";"";"лечение наркологических заболеваний; ";""
"0001217";"государственная";"АМБУЛАТОРНО-НАРКОЛОГИЧЕСКОЕ ОТДЕЛЕНИЕ ПУШКИНСКОГО РАЙОНА";"МЕЖРАЙОННЫЙ НАРКОЛОГИЧЕСКИЙ ДИСПАНСЕР №1";"";"196607, Россия, г. Санкт-Петербург, Пушкин, ул. Школьная, 23";"Капустин Дмитрий Николаевич";"(812) 466-53-83";"(812) 466-53-83";"";"";"1977";"";"196607";"";"лечение наркологических заболеваний; ";""
"0001206";"государственная";"АМБУЛАТОРНО-НАРКОЛОГИЧЕСКОЕ ОТДЕЛЕНИЕ";"МЕЖРАЙОННЫЙ НАРКОЛОГИЧЕСКИЙ ДИСПАНСЕР №1";"";"195197, Россия, г. Санкт-Петербург, Кондратьевский пр., 18";"Богдиан Людмила Варанцевна";"(812) 542-32-82, 542-27-75";"(812) 542-32-82";"";"";"1976";"";"195197";"";"лечение наркологических заболеваний; ";""
"0001025";"государственная";"АМБУЛАТОРНО-ПОЛИКЛИНИЧЕСКОЕ ОТДЕЛЕНИЕ №19";"ГОРОДСКАЯ ПОЛИКЛИНИКА №19";"";"192007, Россия, г. Санкт-Петербург, ул. Воронежская, 104";"Цуканова Инесса Витальевна";"(812) 766-55-66, 766-55-69, 766-54-62";"(812) 766-55-69";"";"";"1981";"";"192007";"";"многопрофильное медицинское обслуживание; ";""
"0027367";"муниципальная";"АМБУЛАТОРНО-ПОЛИКЛИНИЧЕСКОЕ ОТДЕЛЕНИЕ";"КИНГИСЕППСКАЯ ЦЕНТРАЛЬНАЯ РАЙОННАЯ БОЛЬНИЦА им. П.Н.ПРОХОРОВА";"";"188480, Россия, Ленинградская обл., г. Кингисепп, ул. Воровского, 20";"";"(81375) 2-25-32";"";"";"";"";"";"188480";"";"медицинское обслуживание; ";""
"0047057";"частная";"""АМЕТИСТ"" ООО";"";"";"196105, Россия, г. Санкт-Петербург, ул. Благодатная, 18, лит. А, офис 12Н";"";"(812) 368-01-17";"(812) 368-10-72";"stom.ametist@mail.ru";"";"";"";"196105";"";"лечение стоматологических заболеваний; ";""
"0023489";"общественных организаций";"""АНИМА"" СПЕЦИАЛИЗИРОВАННАЯ КЛИНИКА (АССОЦИАЦИЯ СПЕЦИАЛИСТОВ по НЕТРАДИЦИОННЫМ МЕТОДАМ ПСИХОТЕРАПИИ)";"";"";"196135, Россия, г. Санкт-Петербург, ул. Гастелло, 10";"Романова Елена Васильевна";"(812) 371-98-84";"(812) 371-85-26";"anima@bk.ru";"www.animapsy.ru";"1990";"";"196135";"";"психологическая помощь; ";""
"0004469";"государственная";"АНТИРАБИЧЕСКИЙ ЦЕНТР";"ПОЛИКЛИНИКА №38";"";"191015, Россия, г. Санкт-Петербург, ул. Кавалергардская, 26";"Парфенов Виктор Анатольевич";"(812) 274-19-83, 274-75-54";"(812) 271-44-98";"";"";"1975";"";"191015";"";"медицинское обслуживание: профилактика бешенства при укусах животных; ";""
"0047062";"частная";"""АПОЛЛОНИЯ ДЕНТАЛ КЛИНИК"" ООО";"";"";"197110, Россия, г. Санкт-Петербург, Петроградская сторона, Малый просп., 36-38, лит. В, офис 7Н, 8Н";"";"(812) 230-29-68";"(812) 230-29-68";"office@apollonia.ru";"";"";"";"197110";"";"лечение стоматологических заболеваний; ";""
"0004856";"частная";"""АРКАДИЯ"" КЛИНИКА (ООО)";"";"";"191002, Россия, г. Санкт-Петербург, Загородный просп., 21";"Голант Виктория Владимировна";"(812) 713-21-43, 764-92-66, 355-96-88";"(812) 713-21-43, 764-92-66";"";"www.aklinika.ru";"1989";"";"191002";"";"лечение стоматологических заболеваний; протезирование зубов; ";""
"0011768";"частная";"""АРКАДИЯ"" КЛИНИКА (ООО)";"";"";"191002, Россия, г. Санкт-Петербург, ул. Ломоносова, 26";"Голант Виктория Владимировна";"(812) 764-92-66, 355-96-88";"(812) 764-92-66";"";"www.aklinika.ru";"1989";"";"191002";"";"лечение стоматологических заболеваний; протезирование зубов; ";""
"0005093";"федеральная";"БАКТЕРИОЛОГИЧЕСКАЯ ЛАБОРАТОРИЯ";"САНКТ-ПЕТЕРБУРГСКИЙ ФИЛИАЛ ЦЕНТРА ГИГИЕНЫ и ЭПИДЕМИОЛОГИИ №4";"";"199178, Россия, г. Санкт-Петербург, Васильевский о-в, 17-я линия, 16";"Богданов Халим Усманович";"(812) 273-31-05, 273-59-52";"(812) 273-59-52";"";"";"2005";"";"199178";"";"микробиологические исследования в целях санитарного надзора; ";""
"0001631";"государственная";"""БЕЛЫЕ НОЧИ"" ОБЩЕОЗДОРОВИТЕЛЬНЫЙ САНАТОРИЙ";"";"";"197701, Россия, г. Санкт-Петербург, Сестрорецк, Приморское шоссе, 38-й км, 2";"Бойков Александр Николаевич";"(812) 437-31-93, 437-21-36";"(812) 437-36-32";"sel@white-nights.ru";"www.white-nights.ru";"1988";"240";"197701";"";"санаторно-курортное обслуживание; ";""
"0001632";"информация не предоставлена";"""БЕРЕЗКА"" ДЕТСКИЙ САНАТОРИЙ";"";"";"188230, Россия, Ленинградская обл., Гатчинский р-н, п. Сиверская, ул. Комсомольская, 13";"Солохин Юрий Владимирович";"(81371) 9-22-12";"";"sankezevo@zdrav.spb.ru";"";"";"";"188230";"";"санаторно-курортное обслуживание; ";""
"0000994";"государственная";"""БИОСВЯЗЬ"" ЦЕНТР ВОССТАНОВИТЕЛЬНОЙ МЕДИЦИНЫ и РЕАБИЛИТАЦИИ №3";"";"";"195269, Россия, г. Санкт-Петербург, ул. Брянцева, 5, корп. 2, лит. А";"Лохова Любовь Алиевна";"(812) 596-49-27, 290-00-71";"(812) 290-00-71";"brcbiosviaz@zdrav.spb.ru";"";"1991";"";"195269";"";"реабилитационное лечение; ";""
"0045678";"государственная";"БОКСИТОГОРСКАЯ МЕЖРАЙОННАЯ БОЛЬНИЦА";"";"";"187650, Россия, Ленинградская обл., г. Бокситогорск, ул. Комсомольская, 23";"Баскаков Аркадий Валентинович";"(81366) 2-10-88";"(81366) 2-15-56";"med4701@lens.spb.ru";"";"";"";"187650";"";"многопрофильное медицинское обслуживание; ";""
"0045679";"государственная";"БОКСИТОГОРСКАЯ СТОМАТОЛОГИЧЕСКАЯ ПОЛИКЛИНИКА";"";"";"187650, Россия, Ленинградская обл., г. Бокситогорск, ул. Октябрьская, 1";"Лушкина Людмила Ивановна";"(81366) 2-18-51";"(81366) 2-18-51";"";"";"";"";"187650";"";"лечение стоматологических заболеваний; ";""
"0027899";"муниципальная";"БОЛЬНИЦА";"";"";"188377, Россия, Ленинградская обл., Гатчинский р-н, п. Дружная Горка, ул. Здравомыслова, 1";"";"(81371) 9-92-40";"";"";"";"";"";"188377";"";"многопрофильное медицинское обслуживание; ";""
"0027935";"информация не предоставлена";"БОЛЬНИЦА";"";"";"188347, Россия, Ленинградская обл., Лужский р-н, п. Оредеж, ул. Комсомола, 6";"";"(81372) 7-72-74";"";"";"";"";"";"188347";"";"многопрофильное медицинское обслуживание; ";""
"0004860";"частная";"""БРАТСКОЕ"" ООО";"";"";"191002, Россия, г. Санкт-Петербург, Владимирский просп., 17";"Цимерман Леонид Соломонович";"(812) 325-49-68";"(812) 325-49-68";"";"";"1993";"";"191002";"";"лечение стоматологических заболеваний; протезирование зубов; хирургическая стоматология; ";""
"0027920";"государственная";"БЮРО МЕДИКО-СОЦИАЛЬНОЙ ЭКСПЕРТИЗЫ";"";"";"187710, Россия, Ленинградская обл., г. Лодейное Поле, ул. Володарского, 8/1";"";"(81364) 2-13-50";"";"";"";"";"";"187710";"";"медицинское обслуживание; ";""
"0004893";"государственная";"БЮРО СУДЕБНО-МЕДИЦИНСКОЙ ЭКСПЕРТИЗЫ";"КОМИТЕТ по ЗДРАВООХРАНЕНИЮ";"";"195067, Россия, г. Санкт-Петербург, Екатерининский пр., 10";"Лаврентюк Георгий Петрович";"(812) 544-17-17, 545-02-97";"(812) 545-03-40";"sudmed@zdrav.spb.ru";"";"1733";"";"195067";"";"судебно-медицинская экспертиза; ";""
"0022303";"частная";"""ВАЛААМ"" МЕДИЦИНСКАЯ КЛИНИКА (ООО)";"";"";"197343, Россия, г. Санкт-Петербург, Ланское шоссе, 24, корп. 4";"Симанович Евгений Валентинович";"(812) 492-83-26";"(812) 710-80-65, 492-83-26";"";"";"1991";"";"197343";"";"лечение стоматологических заболеваний; протезирование зубов; ";""
"0047063";"частная";"""ВАЛЕОДЕНТ"" ООО";"";"";"192174, Россия, г. Санкт-Петербург, ул. Седова, 80, лит. А";"";"(812) 568-02-16";"(812) 579-69-20";"";"";"";"";"192174";"";"лечение стоматологических заболеваний; ";""
"0046967";"частная";"""ВЕРА +"" ООО";"";"";"190013, Россия, г. Санкт-Петербург, ул. Бронницкая, 10, лит. А, офис 6Н";"";"(812) 316-43-15";"(812) 575-53-75";"stomavera@mail.ru";"";"";"";"190013";"";"лечение стоматологических заболеваний; ";""
"0005185";"смешанная";"""ВЕРОНИКА"" КЛИНИКА (ООО)";"";"";"199026, Россия, г. Санкт-Петербург, Васильевский о-в, Средний пр., 48/27";"Тартаковский Александр Олегович";"(812) 430-73-30, 777-77-09";"(812) 327-88-33";"veronika@online.ru";"";"1989";"";"199026";"услуги гостиниц; ";"лечение стоматологических заболеваний; ";""
"0011772";"частная";"""ВЕРОНИКА"" КЛИНИКА (ООО)";"";"";"197183, Россия, г. Санкт-Петербург, ул. Савушкина, 8, корп. 2";"Тартаковский Александр Олегович";"(812) 777-77-09";"(812) 777-77-09";"mail@veronika.ru; veronika@online.ru";"www.veronika.ru";"1985";"";"197183";"";"лечение стоматологических заболеваний; протезирование зубов; имплантация зубов; лечение ортодонтоза; отбеливание зубов; ";""
"0003775";"частная";"""ВЕСТПРОФИ"" ПРИМОРСКАЯ ВЕТЕРИНАРНАЯ КЛИНИКА (ООО)";"";"";"197183, Россия, г. Санкт-Петербург, ул. Школьная, 16, лит. А";"Филатов Дмитрий Владимирович";"(812) 430-10-20";"(812) 430-10-20";"";"";"2001";"";"197183";"";"ветеринарно-профилактические мероприятия; лечение и профилактическая помощь животным; ";""
"0003762";"государственная";"ВЕТЕРИНАРНАЯ ПОЛИКЛИНИКА ЦЕНТРАЛЬНОГО РАЙОНА";"";"";"193040, Россия, г. Санкт-Петербург, Лиговский просп., 56-а";"Музыка Александр Алексеевич";"(812) 764-99-89, 764-76-22";"(812) 764-99-89";"";"";"1956";"";"193040";"";"ветеринарные услуги; лечение и профилактическая помощь животным; хирургия; ";""
"0004959";"частная";"""ВИКОЛА"" ООО";"";"";"199155, Россия, г. Санкт-Петербург, ул. Железноводская, 64, офис 19-21";"Крючкова Ольга Андреевна";"(812) 350-55-74";"(812) 350-55-74";"";"";"1993";"";"199155";"";"лечение стоматологических заболеваний; протезирование зубов; ";""
"0027170";"информация не предоставлена";"ВИННИЦКАЯ РАЙОННАЯ БОЛЬНИЦА";"";"";"187760, Россия, Ленинградская обл., Подпорожский р-н, с. Винницы, ул. Лесная, 9";"";"(81365) 7-51-74, 7-51-26";"";"";"";"";"";"187760";"";"многопрофильное медицинское обслуживание; ";""
"0011774";"смешанная";"""ВИТА ДЕНТ"" ФИРМА (ООО)";"";"";"197101, Россия, г. Санкт-Петербург, ул. Мира, 16";"Хоровский Олег Евгеньевич";"(812) 498-19-34, 233-08-59";"(812) 233-08-59";"info@vita-dent.ru";"www.vita-dent.ru";"1993";"";"197101";"";"лечение стоматологических заболеваний; протезирование зубов; ";""
"0027930";"частная";"""ВИТА"" КОСМЕТОЛОГИЧЕСКИЙ ЦЕНТР (ООО)";"";"";"188230, Россия, Ленинградская обл., г. Луга, просп. Кирова, 64";"Комарова Светлана Викторовна";"(81372) 2-67-22";"";"";"";"";"";"188230";"";"косметологическое лечебное обслуживание; массаж; ";""
"0001614";"частная";"""ВИТА"" МЕДИЦИНСКИЙ ЦЕНТР С.П.СЕМЕНОВА (ООО)";"";"";"190031, Россия, г. Санкт-Петербург, ул. Казначейская, 4/16";"Касаткин Вадим Алексеевич";"(812) 645-90-01, 315-26-20";"(812) 315-26-20";"info@mcvita.spb.ru";"www.mcvita.spb.ru";"1989";"";"190031";"";"лечение алкоголизма; лечение психологических зависимостей; ";""
"0004964";"смешанная";"""ВИТА"" СТОМАТОЛОГИЧЕСКИЙ УЧЕБНО-ПРАКТИЧЕСКИЙ ЦЕНТР";"";"";"190020, Россия, г. Санкт-Петербург, Нарвский просп., 18";"Левин Борис Яковлевич";"(812) 786-89-09";"(812) 252-61-88";"vita-center@mail.ru";"";"1989";"";"190020";"";"лечение стоматологических заболеваний; ";""
"0021369";"частная";"""ВИТА-ДЕНТ"" ООО";"";"";"188300, Россия, Ленинградская обл., г. Гатчина, просп. 25 Октября, 50";"Васильев Виктор Павлович";"(81371) 3-07-03";"";"";"";"2000";"";"188300";"";"лечение стоматологических заболеваний; протезирование зубов; ";""
"0004430";"государственная";"ВОДИТЕЛЬСКАЯ КОМИССИЯ";"ГОРОДСКАЯ ПОЛИКЛИНИКА №30 (ГОСУДАРСТВЕННОЕ УЧРЕЖДЕНИЕ ЗДРАВООХРАНЕНИЯ)";"";"197110, Россия, г. Санкт-Петербург, ул. Малая Зеленина, 6";"Гриненко Татьяна Романовна";"(812) 235-10-77, 230-47-27";"(812) 235-10-77";"";"";"1995";"";"197110";"";"медицинское обслуживание; ";""
"0002307";"государственная";"ВОЕННО-МЕДИЦИНСКАЯ АКАДЕМИЯ им. С.М.КИРОВА";"";"";"194044, Россия, г. Санкт-Петербург, ул. Академика Лебедева, 6";"Гайдар Борис Всеволодович";"(812) 329-71-03, 542-34-93, 542-81-05, 329-71-02";"(812) 329-71-16";"";"";"1799";"";"194044";"";"многопрофильное медицинское обслуживание; ";""
"0000936";"государственная";"ВОЕННО-МОРСКОЙ ГОСПИТАЛЬ №35";"";"";"197762, Россия, г. Санкт-Петербург, Кронштадт, ул. Мануильского, 2";"Ступор Михаил Петрович";"(812) 311-41-89, 311-41-49, 311-54-72";"(812) 311-39-43";"";"";"1717";"175";"197762";"";"многопрофильное медицинское обслуживание; ";""
"0047064";"государственная";"ВОЕННЫЙ ГОСПИТАЛЬ №329";"ЛЕНИНГРАДСКИЙ ВОЕННЫЙ ОКРУГ";"";"194362, Россия, г. Санкт-Петербург, п/о Парголово, в/ч 61852";"";"(812) 594-84-15";"(812) 594-84-15";"";"";"";"";"194362";"";"многопрофильное медицинское обслуживание; ";""
"0021387";"частная";"""ВОЗВРАЩЕНИЕ"" ИНСТИТУТ МЕДИЦИНСКОЙ РЕАБИЛИТАЦИИ";"";"";"196066, Россия, г. Санкт-Петербург, ул. Гастелло, 11";"Соколов Владимир Александрович";"(812) 371-48-46, 371-08-90";"(812) 373-63-33";"imr03@mail.ru";"www.medrehab.narod.ru";"1992";"";"196066";"";"исследования и разработки новых методов лечения; реабилитационное лечение; ";""
"0027846";"государственная";"ВОЛОСОВСКАЯ МЕЖРАЙОННАЯ БОЛЬНИЦА";"";"";"188410, Россия, Ленинградская обл., п. Волосово, ул. Хрустицкого, 76";"Кононцев Иван Иванович";"(81373) 2-35-03";"(81373) 2-24-28";"glsek.muzvolosovo@gmail.com";"";"";"";"188410";"";"многопрофильное медицинское обслуживание; ";""
"0027320";"муниципальная";"ВОЛХОВСКАЯ ГОРОДСКАЯ БОЛЬНИЦА";"";"";"187400, Россия, Ленинградская обл., г. Волхов, ул. Авиационная, 42";"";"(81363) 2-24-32";"";"";"";"";"";"187400";"";"многопрофильное медицинское обслуживание; ";""
"0027358";"муниципальная";"ВОЛХОВСКАЯ ГОРОДСКАЯ ПОЛИКЛИНИКА";"";"";"187400, Россия, Ленинградская обл., г. Волхов, ул. Авиационная, 44";"";"(81363) 2-44-00";"";"";"";"";"";"187400";"";"многопрофильное медицинское обслуживание; ";""
"0045674";"государственная";"ВОЛХОВСКАЯ МЕЖРАЙОННАЯ БОЛЬНИЦА";"";"";"187401, Россия, Ленинградская обл., г. Волхов, просп. Державина, 60";"Макаревич Петр Алексеевич";"(81363) 7-47-13";"(81363) 7-47-13";"crb@crbvolhov.ru";"";"";"";"187401";"";"многопрофильное медицинское обслуживание; ";""
"0027851";"государственная";"ВОЛХОВСКАЯ СТОМАТОЛОГИЧЕСКАЯ ПОЛИКЛИНИКА";"";"";"187400, Россия, Ленинградская обл., г. Волхов, ул. Авиационная, 37";"Гарбут Людмила Станиславовна";"(81363) 2-59-68";"(81363) 2-59-68";"";"";"";"";"187400";"";"лечение стоматологических заболеваний; ";""
"0021385";"частная";"ВОСТОЧНО-ЕВРОПЕЙСКИЙ ИНСТИТУТ ПСИХОАНАЛИЗА (ООО)";"";"";"197198, Россия, г. Санкт-Петербург, Петроградская сторона, Большой просп., 18-а";"Решетников Михаил Михайлович";"(812) 235-28-57, 235-11-39";"(812) 235-28-57";"rector@oedipus.ru";"www.oedipus.ru";"1991";"";"197198";"";"исследования и разработки новых методов лечения; психологическая помощь; ";""
"0001633";"государственная";"""ВОСХОД"" ДЕТСКИЙ САНАТОРИЙ";"";"";"197720, Россия, г. Санкт-Петербург, п. Ушково, Приморское шоссе, 617";"Саханенко Валентина Васильевна";"(812) 433-37-87, 433-42-37";"(812) 433-37-87";"";"";"1945";"105";"197720";"";"санаторно-курортное обслуживание; санаторное лечение нефрологических заболеваний; санаторное лечение кожных заболеваний; ";""
"0027321";"государственная";"ВСЕВОЛОЖСКАЯ КЛИНИЧЕСКАЯ МЕЖРАЙОННАЯ БОЛЬНИЦА";"";"";"188643, Россия, Ленинградская обл., г. Всеволожск, Колтушское шоссе, 20";"Шипачев Константин Викторович";"(81370) 2-42-19";"(81370) 2-43-20";"vsevcrb@lsi.ru";"vsev-crb.ru";"";"";"188643";"";"многопрофильное медицинское обслуживание; ";""
"0045687";"государственная";"ВСЕВОЛОЖСКИЙ СПЕЦИАЛИЗИРОВАННЫЙ ДОМ РЕБЕНКА для ДЕТЕЙ с ОРГАНИЧЕСКИМ ПОРАЖЕНИЕМ ЦЕНТРАЛЬНОЙ НЕРВНОЙ СИСТЕМЫ с НАРУШЕНИЕМ ПСИХИКИ";"";"";"188643, Россия, Ленинградская обл., г. Всеволожск, Христиновский просп., 2";"Поддубная Галина Владимировна";"(81370) 3-05-95";"(81370) 3-05-95";"pndr@mail.ru";"";"";"";"188643";"";"медицинское обслуживание новорожденных; лечение психоневрологических заболеваний у детей; ";""
"0003646";"государственная";"ВСЕРОССИЙСКИЙ НАУЧНО-ИССЛЕДОВАТЕЛЬСКИЙ ВЕТЕРИНАРНЫЙ ИНСТИТУТ ПТИЦЕВОДСТВА";"РОССИЙСКАЯ АКАДЕМИЯ СЕЛЬСКОХОЗЯЙСТВЕННЫХ НАУК";"";"198412, Россия, г. Санкт-Петербург, Ломоносов, ул. Черникова, 3";"Джавадов Эдуард Джавадович";"(812) 422-06-69, 422-04-63";"(812) 422-04-63";"vnivip@ppp.delfa.net";"www.vnilip.spb.ru";"1964";"";"198412";"";"ветеринарно-профилактические мероприятия; ";""
"0002658";"федеральная";"ВСЕРОССИЙСКИЙ ЦЕНТР ЭКСТРЕННОЙ и РАДИАЦИОННОЙ МЕДИЦИНЫ им. А.М.НИКИФОРОВА";"МИНИСТЕРСТВО по ЧРЕЗВЫЧАЙНЫМ СИТУАЦИЯМ и ЛИКВИДАЦИИ ПОСЛЕДСТВИЙ СТИХИЙНЫХ БЕДСТВИЙ";"";"194044, Россия, г. Санкт-Петербург, ул. Академика Лебедева, 4/2";"Алексанин Сергей Сергеевич";"(812) 541-85-65, 595-63-33";"(812) 541-88-05";"medicine@arcerm.spb.ru";"www.arcerm.spb.ru";"1991";"102";"194044";"";"исследования и разработки новых методов лечения; комплексное диагностическое обследование; реабилитационное лечение; медицинская экспертиза; ";""
