"Номер анкеты";"Форма собственности";"Название предприятия";"Подчиненность вышестоящей организации";"Представительство страны";"Почтовый адрес";"Руководитель";"Телефон";"Факс";"E_Mail";"Адрес INTERNET";"Год основания";"Количество койко-мест";"Почтовый индекс";"Дополнительные услуги и продукция";"Основная продукция и услуги";"Направление деятельности"
"0011803";"частная";"""АВЕРС"" ООО";"";"";"196191, Россия, г. Санкт-Петербург, Ленинский просп., 168";"Лящук Александр Дмитриевич";"(812) 370-46-01";"(812) 370-46-01";"mail@medicor.spb.ru";"www.medicor.ru";"1988";"";"196191";"";"лечение стоматологических заболеваний; ";""
"0038557";"частная";"""АВИВАК"" НПП (ООО)";"";"";"188502, Россия, Ленинградская обл., Ломоносовский р-н, д. Горбунки";"Смелов Ярослав Николаевич";"(812) 346-58-53, 346-58-54";"(812) 703-11-52";"avivak@sovintel.ru";"";"1992";"";"188502";"производственная деятельность: тест-системы и биопрепараты для профилактики инфекционных болезней птиц; ";"ветеринарные услуги; ";""
"0027881";"частная";"""АВИЦЕННА"" КОНСУЛЬТАЦИОННЫЙ ЦЕНТР (ООО)";"";"";"188800, Россия, Ленинградская обл., г. Выборг, бул. Кутузова, 9";"Левдикова Татьяна Евгеньевна";"(81378) 2-63-42";"";"";"";"";"";"188800";"";"многопрофильное медицинское обслуживание; ";""
"0004955";"частная";"""АВИЦЕННА"" ЛЕЧЕБНО-ДИАГНОСТИЧЕСКИЙ ЦЕНТР (ООО)";"";"";"196608, Россия, г. Санкт-Петербург, Пушкин, ул. Оранжерейная, 64";"Елескина Надежда Васильевна";"(812) 476-67-94, 465-81-42";"(812) 476-67-94";"";"";"1980";"";"196608";"";"многопрофильное медицинское обслуживание; ";""
"0037579";"информация не предоставлена";"""АВИЦЕННА"" МЕДИЦИНСКОЕ ОБЪЕДИНЕНИЕ";"";"";"173000, Россия, г. Великий Новгород, ул. Нехинская, 57";"";"(8162) 15-77-51";"";"";"";"";"";"173000";"";"диагностика и лечение; ";""
"0001630";"государственная";"""АВРОРА"" ДЕТСКИЙ САНАТОРИЙ";"";"";"197760, Россия, г. Санкт-Петербург, Кронштадт, Цитадельское шоссе, 30";"Ни Владимир Константинович";"(812) 311-40-70, 311-27-37";"(812) 311-40-70";"";"";"1960";"50";"197760";"";"санаторно-курортное обслуживание; ";""
"0028434";"информация не предоставлена";"""АЙБОЛИТ"" СТОМАТОЛОГИЧЕСКАЯ КЛИНИКА";"";"";"236010, Россия, г. Калининград, Воздушный пер., 7";"";"(4012) 33-30-33";"";"";"";"";"";"236010";"";"лечение стоматологических заболеваний; ";""
"0019158";"частная";"""АЙМАД"" СТОМАТОЛОГИЧЕСКИЙ ЦЕНТР (ООО)";"";"";"236008, Россия, г. Калининград, ул. Тургенева, 8";"Насыров Марат Наильевич";"(4012) 21-27-48, 36-53-53, 91-61-36";"(4012) 21-27-48";"";"";"1994";"";"236008";"";"лечение стоматологических заболеваний; протезирование зубов; имплантация зубов; хирургическая стоматология; ";""
"0028430";"федеральная";"""АКАДЕМИЯ ЛИЧНОСТИ"" АНТИКРИЗИСНЫЙ ЦЕНТР СОДЕЙСТВИЯ";"";"";"236000, Россия, г. Калининград, ул. Озерная, 31-а";"Мурзин Евгений Алексеевич";"(4012) 76-05-15";"(4012) 98-50-70";"kotva@mail.ru";"";"2010";"";"236000";"";"психологическая помощь; ";""
"0037160";"информация не предоставлена";"""АКВАМЕД"" МЕДИЦИНСКИЙ ЦЕНТР";"";"";"236040, Россия, г. Калининград, ул. Соммера, 11";"";"(4012) 43-64-60";"";"";"";"";"";"236040";"";"медицинское обслуживание; ";""
"0004575";"частная";"""АКНЕАС"" ФЛЕБОЛОГИЧЕСКИЙ ЦЕНТР (ЗАО)";"";"";"197022, Россия, г. Санкт-Петербург, ул. Академика Павлова, 5";"Автомова Светлана Викторовна";"(812) 496-01-10, 970-47-47";"(812) 496-01-10";"medckorvet@mail.ru";"www.angelcentr.ru";"1992";"";"197022";"";"лечение варикозного расширения вен; лечение тромбофлебитов и тромбозов; ";""
"0005171";"государственная";"АКУШЕРСКИЙ ГЕМАТОЛОГИЧЕСКИЙ ЦЕНТР";"РОДИЛЬНЫЙ ДОМ №6 им. В.Ф.СНЕГИРЕВА";"";"191014, Россия, г. Санкт-Петербург, ул. Маяковского, 5";"Гайдукова Ирина Рэмовна";"(812) 273-69-04, 273-54-93, 273-58-34";"(812) 273-54-93";"roddom6@zdrav.spb.ru";"";"1760";"";"191014";"";"акушерско-медицинское обслуживание; ";""
"0025220";"государственная";"АКУШЕРСКИЙ КОРПУС ОБЛАСТНОЙ БОЛЬНИЦЫ №1";"";"";"160000, Россия, г. Вологда, Пошехонское шоссе, 27";"Буренков Геннадий Михайлович";"(8172) 71-77-51, 71-78-50";"(8172) 71-77-51";"";"";"1984";"";"160000";"";"акушерско-медицинское обслуживание; лечение гинекологических заболеваний; медицинское обслуживание новорожденных; ";""
"0037029";"информация не предоставлена";"АКУШЕРСКО-ГИНЕКОЛОГИЧЕСКОЕ ОТДЕЛЕНИЕ";"ЦЕНТРАЛЬНАЯ РАЙОННАЯ БОЛЬНИЦА";"";"238530, Россия, Калининградская обл., г. Зеленоградск, ул. Лесопарковая, 1";"";"(40150) 3-28-69";"";"";"";"";"";"238530";"";"лечение гинекологических заболеваний; акушерско-медицинское обслуживание; ";""
"0022491";"частная";"""АЛЕКС-ДЕНТ"" ООО";"";"";"236000, Россия, г. Калининград, пер. Чернышевского, 3";"Цуканов Александр Владимирович";"(4012) 21-98-13, 76-03-13";"(4012) 76-03-13";"alex-dent@mail.ru";"www.alex-dent.ucoz.ru";"2010";"";"236000";"";"лечение стоматологических заболеваний; протезирование зубов; лечение ортодонтоза; ";""
"0033547";"частная";"""АЛЕКСАНДРИЯ"" ООО";"";"";"164901, Россия, Архангельская обл., г. Новодвинск, ул. 3-й Пятилетки, 23";"Хаванов Александр Никитич";"(81852) 4-12-69";"(81852) 4-12-69";"";"";"";"";"164901";"";"лечение стоматологических заболеваний; ";""
"0021381";"субъектов федерации";"АЛЕКСАНДРОВСКАЯ ГОРОДСКАЯ БОЛЬНИЦА";"";"";"193312, Россия, г. Санкт-Петербург, просп. Солидарности, 4";"Козлов Виктор Павлович";"(812) 583-16-23, 583-16-00";"(812) 589-11-41";"cpsm@alexhospital.spb.su; b17@zdrav.spb.ru";"www.alexhospital.ru";"1986";"1700";"193312";"";"многопрофильное медицинское обслуживание; ";""
"0037506";"частная";"""АЛКОНОТ"" ООО";"";"";"160000, Россия, г. Вологда, Окружное шоссе, 3-в";"";"(8172) 21-15-05";"";"";"";"";"";"160000";"";"медицинское обслуживание; ";""
"0011796";"частная";"""АЛЬЯНС КП"" КЛИНИКА (ООО)";"";"";"194156, Россия, г. Санкт-Петербург, просп. Ф.Энгельса, 27";"Ламехова Ольга Викторовна";"(812) 248-99-96, 777-63-02; (921) 913-09-43";"(812) 248-99-96";"";"www.alyans-kp.ru";"2010";"";"194156";"";"лечение стоматологических заболеваний; протезирование зубов; хирургическая стоматология; ";""
"0037235";"информация не предоставлена";"""АМАЙЗЕ"" МЕДИЦИНСКИЙ ЦЕНТР";"";"";"236029, Россия, г. Калининград, ул. Яналова, 46/1";"";"(4012) 27-25-28";"";"";"";"";"";"236029";"";"медицинское обслуживание; ";""
"0033448";"федеральная";"АМБУЛАТОРИЯ";"";"";"185035, Республика Карелия, г. Петрозаводск, ул. Пушкинская, 3";"Юллене Ритта Александровна";"(8142) 78-11-91";"";"";"";"1975";"";"185035";"";"медицинское обслуживание; ";""
"0037213";"информация не предоставлена";"АМБУЛАТОРИЯ";"";"";"238300, Россия, Калининградская обл., Гурьевский р-н, п. Малинники";"";"(40151) 3-70-34";"";"";"";"";"";"238300";"";"медицинское обслуживание; ";""
"0038056";"информация не предоставлена";"АМБУЛАТОРИЯ";"СЕВЕРНАЯ Ж.Д.";"";"165170, Россия, Архангельская обл., г. Вельск, ул. Пушкина, 99";"";"(81836) 2-25-64";"";"";"";"";"";"165170";"";"диагностика и лечение; ";""
"0038079";"информация не предоставлена";"АМБУЛАТОРИЯ";"";"";"165170, Россия, Архангельская обл., г. Вельск, п/о Муравьевская Горка";"";"(81836) 2-40-67";"";"";"";"";"";"165170";"";"диагностика и лечение; ";""
"0038084";"информация не предоставлена";"АМБУЛАТОРИЯ";"ЦЕНТРАЛЬНАЯ РАЙОННАЯ БОЛЬНИЦА";"";"165170, Россия, Архангельская обл., г. Вельск, ул. Климовского, 31";"";"(81836) 2-51-70";"";"";"";"";"";"165170";"";"диагностика и лечение; ";""
"0038086";"информация не предоставлена";"АМБУЛАТОРИЯ";"";"";"165170, Россия, Архангельская обл., г. Вельск, п/о Хорошево";"";"(81836) 4-11-70";"";"";"";"";"";"165170";"";"диагностика и лечение; ";""
"0001611";"частная";"АМБУЛАТОРНО-КОНСУЛЬТАТИВНОЕ ОТДЕЛЕНИЕ";"ГОРОДСКАЯ БОЛЬНИЦА №32";"";"191800, Россия, г. Санкт-Петербург, Лазаретный пер., 4";"Гриненко Олег Александрович";"(812) 713-54-22, 764-77-83";"(812) 764-77-83";"b32@zdrav.spb.ru";"";"2003";"";"191800";"";"многопрофильное медицинское обслуживание; ";""
"0001211";"государственная";"АМБУЛАТОРНО-НАРКОЛОГИЧЕСКОЕ ОТДЕЛЕНИЕ КОЛПИНСКОГО РАЙОНА";"МЕЖРАЙОННЫЙ НАРКОЛОГИЧЕСКИЙ ДИСПАНСЕР №1";"";"196630, Россия, г. Санкт-Петербург, Колпино, ул. Тверская, 10";"Елагина Яна Юрьевна";"(812) 469-26-74";"(812) 469-27-30";"";"";"1978";"";"196630";"";"лечение наркологических заболеваний; ";""
"0001208";"государственная";"АМБУЛАТОРНО-НАРКОЛОГИЧЕСКОЕ ОТДЕЛЕНИЕ КРАСНОГВАРДЕЙСКОГО РАЙОНА";"МЕЖРАЙОННЫЙ НАРКОЛОГИЧЕСКИЙ ДИСПАНСЕР №1";"";"195112, Россия, г. Санкт-Петербург, пр. Новочеркасский, 22/15";"Коляева Марина Ивановна";"(812) 444-22-65, 444-62-69";"(812) 444-22-65";"";"";"1976";"";"195112";"";"лечение наркологических заболеваний; лечение алкоголизма; ";""
"0001213";"государственная";"АМБУЛАТОРНО-НАРКОЛОГИЧЕСКОЕ ОТДЕЛЕНИЕ НЕВСКОГО РАЙОНА";"МЕЖРАЙОННЫЙ НАРКОЛОГИЧЕСКИЙ ДИСПАНСЕР №1";"";"192131, Россия, г. Санкт-Петербург, ул. Ивановская, 32";"Ветласенин Вадим Александрович";"(812) 362-17-47, 560-87-68, 560-11-11, 560-46-47";"(812) 560-87-68";"";"";"1977";"";"192131";"";"лечение наркологических заболеваний; ";""
"0001216";"государственная";"АМБУЛАТОРНО-НАРКОЛОГИЧЕСКОЕ ОТДЕЛЕНИЕ ПРИМОРСКОГО РАЙОНА";"МЕЖРАЙОННЫЙ НАРКОЛОГИЧЕСКИЙ ДИСПАНСЕР №1";"";"197183, Россия, г. Санкт-Петербург, наб. Черной речки, 12";"Ньюпен Виктор Иванович";"(812) 496-14-90, 492-06-68";"(812) 492-06-68";"";"";"1976";"";"197183";"";"лечение наркологических заболеваний; ";""
"0001217";"государственная";"АМБУЛАТОРНО-НАРКОЛОГИЧЕСКОЕ ОТДЕЛЕНИЕ ПУШКИНСКОГО РАЙОНА";"МЕЖРАЙОННЫЙ НАРКОЛОГИЧЕСКИЙ ДИСПАНСЕР №1";"";"196607, Россия, г. Санкт-Петербург, Пушкин, ул. Школьная, 23";"Капустин Дмитрий Николаевич";"(812) 466-53-83";"(812) 466-53-83";"";"";"1977";"";"196607";"";"лечение наркологических заболеваний; ";""
"0001206";"государственная";"АМБУЛАТОРНО-НАРКОЛОГИЧЕСКОЕ ОТДЕЛЕНИЕ";"МЕЖРАЙОННЫЙ НАРКОЛОГИЧЕСКИЙ ДИСПАНСЕР №1";"";"195197, Россия, г. Санкт-Петербург, Кондратьевский пр., 18";"Богдиан Людмила Варанцевна";"(812) 542-32-82, 542-27-75";"(812) 542-32-82";"";"";"1976";"";"195197";"";"лечение наркологических заболеваний; ";""
"0001025";"государственная";"АМБУЛАТОРНО-ПОЛИКЛИНИЧЕСКОЕ ОТДЕЛЕНИЕ №19";"ГОРОДСКАЯ ПОЛИКЛИНИКА №19";"";"192007, Россия, г. Санкт-Петербург, ул. Воронежская, 104";"Цуканова Инесса Витальевна";"(812) 766-55-66, 766-55-69, 766-54-62";"(812) 766-55-69";"";"";"1981";"";"192007";"";"многопрофильное медицинское обслуживание; ";""
"0027367";"муниципальная";"АМБУЛАТОРНО-ПОЛИКЛИНИЧЕСКОЕ ОТДЕЛЕНИЕ";"КИНГИСЕППСКАЯ ЦЕНТРАЛЬНАЯ РАЙОННАЯ БОЛЬНИЦА им. П.Н.ПРОХОРОВА";"";"188480, Россия, Ленинградская обл., г. Кингисепп, ул. Воровского, 20";"";"(81375) 2-25-32";"";"";"";"";"";"188480";"";"медицинское обслуживание; ";""
"0037128";"информация не предоставлена";"""АМД"" ЛАБОРАТОРИЯ";"";"";"236008, Россия, г. Калининград, ул. Ленинградская, 4";"";"(4012) 34-12-65";"";"";"";"";"";"236008";"";"диагностика и лечение; ";""
"0047057";"частная";"""АМЕТИСТ"" ООО";"";"";"196105, Россия, г. Санкт-Петербург, ул. Благодатная, 18, лит. А, офис 12Н";"";"(812) 368-01-17";"(812) 368-10-72";"stom.ametist@mail.ru";"";"";"";"196105";"";"лечение стоматологических заболеваний; ";""
"0042063";"частная";"""АМИКУС"" ВЕТЕРИНАРНЫЙ ЦЕНТР";"";"";"185003, Республика Карелия, г. Петрозаводск, ул. Загородная, 15";"";"(8142) 56-17-65";"";"vetclinika@inbox.ru";"www.vetclinica-rk.ru";"";"";"185003";"";"ветеринарные услуги; ";""
"0036924";"частная";"""АМОЗОВА"" ИНДИВИДУАЛЬНОЕ ПРЕДПРИЯТИЕ";"";"";"183000, Россия, г. Мурманск, просп. Ленина, 20";"Амозова Инга Викторовна";"(8152) 27-97-07, 23-93-20";"(8152) 23-93-20";"";"";"2002";"";"183000";"";"многопрофильное медицинское обслуживание; ";""
"0037199";"информация не предоставлена";"""АНДРО-V"" ЛЕЧЕБНО-ДИАГНОСТИЧЕСКИЙ ЦЕНТР";"";"";"236040, Россия, г. Калининград, ул. Больничная, 5, офис 217";"";"(4012) 43-35-86";"";"";"";"";"";"236040";"";"диагностика и лечение; ";""
"0037228";"частная";"""АНДРО-ГИН"" МЕДИЦИНСКИЙ ЦЕНТР (ООО)";"";"";"236029, Россия, г. Калининград, ул. Озерная, 34-42";"Курюкин Евгений Валерьевич";"(4012) 32-34-80";"(4012) 32-34-80";"";"";"2002";"";"236029";"";"многопрофильное медицинское обслуживание; ";""
"0023489";"общественных организаций";"""АНИМА"" СПЕЦИАЛИЗИРОВАННАЯ КЛИНИКА (АССОЦИАЦИЯ СПЕЦИАЛИСТОВ по НЕТРАДИЦИОННЫМ МЕТОДАМ ПСИХОТЕРАПИИ)";"";"";"196135, Россия, г. Санкт-Петербург, ул. Гастелло, 10";"Романова Елена Васильевна";"(812) 371-98-84";"(812) 371-85-26";"anima@bk.ru";"www.animapsy.ru";"1990";"";"196135";"";"психологическая помощь; ";""
"0004469";"государственная";"АНТИРАБИЧЕСКИЙ ЦЕНТР";"ПОЛИКЛИНИКА №38";"";"191015, Россия, г. Санкт-Петербург, ул. Кавалергардская, 26";"Парфенов Виктор Анатольевич";"(812) 274-19-83, 274-75-54";"(812) 271-44-98";"";"";"1975";"";"191015";"";"медицинское обслуживание: профилактика бешенства при укусах животных; ";""
"0002071";"государственная";"АПАТИТСКАЯ СТОМАТОЛОГИЧЕСКАЯ ПОЛИКЛИНИКА";"";"";"184209, Россия, Мурманская обл., г. Апатиты, ул. Ленина, 28";"Ушкина Ирина Викторовна";"(81555) 6-14-27, 6-14-58";"";"stomatolog@com.mels.ru";"ap-stom.ru";"";"";"184209";"";"лечение стоматологических заболеваний; ";""
"0001976";"государственная";"АПАТИТСКО-КИРОВСКАЯ ЦЕНТРАЛЬНАЯ ГОРОДСКАЯ БОЛЬНИЦА";"";"";"184209, Россия, Мурманская обл., г. Апатиты, ул. Бредова, 18";"Ширяев Юрий Семенович";"(81555) 2-19-40, 2-19-40";"";"sekretar@kcrb.ru";"www.kcgb.ru";"";"";"184209";"";"многопрофильное медицинское обслуживание; ";""
"0047062";"частная";"""АПОЛЛОНИЯ ДЕНТАЛ КЛИНИК"" ООО";"";"";"197110, Россия, г. Санкт-Петербург, Петроградская сторона, Малый просп., 36-38, лит. В, офис 7Н, 8Н";"";"(812) 230-29-68";"(812) 230-29-68";"office@apollonia.ru";"";"";"";"197110";"";"лечение стоматологических заболеваний; ";""
"0037146";"информация не предоставлена";"""АРИАДНА"" МЕДИЦИНСКИЙ ЦЕНТР";"";"";"236000, Россия, г. Калининград, просп. Мира, 87, корп. 1";"";"(4012) 21-58-57";"";"";"";"";"";"236000";"";"медицинское обслуживание; ";""
"0004856";"частная";"""АРКАДИЯ"" КЛИНИКА (ООО)";"";"";"191002, Россия, г. Санкт-Петербург, Загородный просп., 21";"Голант Виктория Владимировна";"(812) 713-21-43, 764-92-66, 355-96-88";"(812) 713-21-43, 764-92-66";"";"www.aklinika.ru";"1989";"";"191002";"";"лечение стоматологических заболеваний; протезирование зубов; ";""
"0011768";"частная";"""АРКАДИЯ"" КЛИНИКА (ООО)";"";"";"191002, Россия, г. Санкт-Петербург, ул. Ломоносова, 26";"Голант Виктория Владимировна";"(812) 764-92-66, 355-96-88";"(812) 764-92-66";"";"www.aklinika.ru";"1989";"";"191002";"";"лечение стоматологических заболеваний; протезирование зубов; ";""
"0036920";"частная";"""АРКТИКМЕД"" МЕДИЦИНСКИЙ ЦЕНТР (ООО)";"";"";"183000, Россия, г. Мурманск, ул. Книповича, 23, офис 818";"Торопов Виктор Иванович";"(8152) 45-85-50, 45-66-30";"(8152) 45-66-30";"";"";"2003";"";"183000";"";"многопрофильное медицинское обслуживание; ";""
"0036925";"частная";"""АРКТИКСТОМАКС 2"" ООО";"";"";"183000, Россия, г. Мурманск, Кольский просп., 176/3";"Филатов Вячеслав Иванович";"(8152) 53-96-86, 45-84-82, 45-78-93";"(8152) 45-84-82";"stomaks@com.mels.ru";"";"1973";"";"183000";"";"лечение стоматологических заболеваний; протезирование зубов; ";""
"0013164";"субъектов федерации";"АРХАНГЕЛЬСКАЯ ДЕТСКАЯ КЛИНИЧЕСКАЯ БОЛЬНИЦА им. П.Г.ВЫЖЛЕЦОВА";"";"";"163002, Россия, г. Архангельск, просп. Обводного канала, 7";"";"(8182) 68-38-90, 68-34-33";"(8182) 68-38-90";"odkb@atnet.ru";"aodkb29.ru";"";"";"163002";"";"многопрофильное медицинское обслуживание; лечение педиатрических заболеваний; ";""
"0001838";"субъектов федерации";"АРХАНГЕЛЬСКАЯ ОБЛАСТНАЯ КЛИНИЧЕСКАЯ БОЛЬНИЦА";"";"";"163045, Россия, г. Архангельск, просп. Ломоносова, 292";"";"(8182) 27-32-58, 27-59-21";"(8182) 24-79-05";"aokb@okb.msa.ru";"";"";"";"163045";"";"многопрофильное медицинское обслуживание; ";""
"0001841";"субъектов федерации";"АРХАНГЕЛЬСКАЯ ОБЛАСТНАЯ КЛИНИЧЕСКАЯ ОФТАЛЬМОЛОГИЧЕСКАЯ БОЛЬНИЦА";"";"";"163002, Россия, г. Архангельск, просп. Обводного канала, 9";"";"(8182) 27-27-88, 66-11-84";"(8182) 28-11-08";"aokobst@msa.ru";"";"";"230";"163002";"";"лечение офтальмологических заболеваний; ";""
"0002047";"субъектов федерации";"АРХАНГЕЛЬСКАЯ ОБЛАСТНАЯ КЛИНИЧЕСКАЯ СТОМАТОЛОГИЧЕСКАЯ ПОЛИКЛИНИКА";"";"";"163045, Россия, г. Архангельск, пр. Сибиряковцев, 17";"";"(8182) 24-31-56, 27-70-03";"(8182) 24-33-05";"oblstom@atnet.ru";"";"";"";"163045";"";"лечение стоматологических заболеваний; ";""
"0002006";"субъектов федерации";"АРХАНГЕЛЬСКИЙ ОБЛАСТНОЙ КЛИНИЧЕСКИЙ КОЖНО-ВЕНЕРОЛОГИЧЕСКИЙ ДИСПАНСЕР";"ДЕПАРТАМЕНТ ЗДРАВООХРАНЕНИЯ АДМИНИСТРАЦИИ АРХАНГЕЛЬСКОЙ ОБЛАСТИ";"";"163045, Россия, г. Архангельск, пр. Сибиряковцев, 2, корп. 1";"Барышков Константин Витальевич";"(8182) 24-84-28, 27-65-79";"(8182) 24-84-28";"arh.okkvd@mail.ru";"www.aokkvd.ru";"";"";"163045";"";"лечение кожно-венерических заболеваний; ";""
"0002007";"субъектов федерации";"АРХАНГЕЛЬСКИЙ ОБЛАСТНОЙ КЛИНИЧЕСКИЙ ОНКОЛОГИЧЕСКИЙ ДИСПАНСЕР";"";"";"163045, Россия, г. Архангельск, просп. Обводного канала, 145-а";"";"(8182) 24-64-70, 24-79-28";"(8182) 27-64-54";"bolshakova@aokod.ru";"";"";"";"163045";"";"лечение онкологических заболеваний; ";""
"0001839";"субъектов федерации";"АРХАНГЕЛЬСКИЙ ОБЛАСТНОЙ МЕДИЦИНСКИЙ ЦЕНТР";"";"";"163000, Россия, г. Архангельск, ул. Гайдара, 3";"";"(8182) 20-86-33";"(8182) 20-86-33";"kbdz@atnet.ru";"";"";"";"163000";"";"многопрофильное медицинское обслуживание; ";""
"0033494";"государственная";"АРХАНГЕЛЬСКИЙ ОБЛАСТНОЙ ЦЕНТР МЕДИЦИНСКОЙ ПРОФИЛАКТИКИ";"";"";"163045, Россия, г. Архангельск, просп. Ломоносова, 311";"Агафонова Елена Юрьевна";"(8182) 27-63-43, 27-63-50, 21-30-36";"(8182) 27-63-50, 27-63-43";"formulazd@mail.ru";"www.zdorovie29.ru";"2003";"";"163045";"";"проведение санпрофилактических и противоэпидемических мероприятий; ";""
"0013188";"государственная";"АРХАНГЕЛЬСКИЙ ОБЛАСТНОЙ ЦЕНТР МЕДИЦИНЫ КАТАСТРОФ";"ДЕПАРТАМЕНТ ЗДРАВООХРАНЕНИЯ АДМИНИСТРАЦИИ АРХАНГЕЛЬСКОЙ ОБЛАСТИ";"";"163045, Россия, г. Архангельск, ул. Теснанова, 3";"Коряковский Леонид Николаевич";"(8182) 27-61-10, 22-31-48";"(8182) 27-61-10";"aocmk@mail.ru";"";"2000";"";"163045";"";"скорая неотложная медицинская помощь; судебно-медицинская экспертиза; реабилитационное лечение; ";""
"0017811";"государственная";"АФРИКАНДСКАЯ БОЛЬНИЦА";"";"";"184220, Россия, Мурманская обл., г. Полярные Зори, п. Африканда, ул. Ленина, 23";"Корчагин Павел Сергеевич";"(81532) 6-22-88, 6-24-84";"";"afrbca@com.mels.ru; afrikandabca@mail.ru";"afrikandabca.wordpress.com";"";"";"184220";"";"многопрофильное медицинское обслуживание; ";""
"0028498";"муниципальная";"БАБАЕВСКАЯ ЦЕНТРАЛЬНАЯ РАЙОННАЯ БОЛЬНИЦА";"";"";"162480, Россия, Вологодская обл., г. Бабаево, ул. Свердлова, 39";"Якунин Виктор Алексеевич";"(81743) 2-12-22";"";"bab-crb@yandex.ru";"";"";"";"162480";"";"многопрофильное медицинское обслуживание; ";""
"0028521";"муниципальная";"БАБУШКИНСКАЯ ЦЕНТРАЛЬНАЯ РАЙОННАЯ БОЛЬНИЦА";"";"";"161350, Россия, Вологодская обл., с. им. Бабушкина, ул. Пролетарская, 2";"Коршунов Василий Владимирович";"(81745) 2-15-50";"";"babed@vologda.ru";"babmed.volmed.org.ru";"";"";"161350";"";"многопрофильное медицинское обслуживание; ";""
